course_id,course_name,section_id,session,days/times,dates,instructor,status
¥ARTHUA205127965¥,¥ARTH-UA 205 - Medieval Architecture¥,¥Section: 001-LEC (19973)¥,¥Session: Regular Academic Session¥,¥Days/Times: MoWe 12:30pm - 1:45pm¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Carol H Krinsky¥,¥Status: Open¥
¥ARTHUA250127966¥,¥ARTH-UA 250 - Sp Tpcs Medieval Art:¥,¥Section: 001-LEC (19975)¥,¥Topic: The Illuminated Book in the Medieval Christain Wrl¥,¥Session: Regular Academic Session¥,¥Days/Times: MoWe 2:00pm - 3:15pm¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Kathryn Ann Smith¥
¥ARTHUA350127986¥,¥ARTH-UA 350 - Sp Tpcs Renaissance & Baroque Art:¥,¥Section: 001-LEC (10087)¥,¥Topic: Leonardo and Michelangelo, Triumph and Disaster¥,¥Session: Regular Academic Session¥,¥Days/Times: TuTh 4:55pm - 6:10pm¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Dennis V Geronimus¥
¥ARTHUA350127986¥,¥ARTH-UA 350 - Sp Tpcs Renaissance & Baroque Art:¥,¥Section: 002-LEC (19795)¥,¥Topic: Albrecht Dürer and the German Renaissance¥,¥Session: Regular Academic Session¥,¥Days/Times: Th 9:30am - 12:15pm¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Christopher Wood¥
¥ARTHUA450128005¥,¥ARTH-UA 450 - Sp Tpcs Modern Art:¥,¥Section: 002-LEC (9425)¥,¥Topic: Neoclassicism to Realism¥,¥Session: Regular Academic Session¥,¥Days/Times: TuTh 11:00am - 12:15pm¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Meredith S Martin¥
¥ARTHUA450128005¥,¥ARTH-UA 450 - Sp Tpcs Modern Art:¥,¥Section: 003-LEC (19797)¥,¥Topic: Neo-Dada, Pop,/Minimalism:From Painting to Concept¥,¥Session: Regular Academic Session¥,¥Days/Times: MoWe 4:55pm - 6:10pm¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Julia E Robinson¥
¥ARTHUA450128005¥,¥ARTH-UA 450 - Sp Tpcs Modern Art:¥,¥Section: 004-LEC (19798)¥,¥Topic: Global Contemporary Art¥,¥Session: Regular Academic Session¥,¥Days/Times: MoWe 4:55pm - 6:10pm¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Eana Kim, Joseph Low Karmel¥
¥ARTHUA530128017¥,¥ARTH-UA 530 - South Asian Art I: Indus Valley to 1200¥,¥Section: 001-LEC (10223)¥,¥Session: Regular Academic Session¥,¥Days/Times: TuTh 2:00pm - 3:15pm¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Dipti Khera¥,¥Status: Open¥
¥ARTHUA541128020¥,¥ARTH-UA 541 - Art in The Islamic World II: Mongols to Modernism¥,¥Section: 001-LEC (19799)¥,¥Session: Regular Academic Session¥,¥Days/Times: MoWe 9:30am - 10:45am¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Nadia Ali¥,¥Status: Open¥
¥ARTHUA601128027¥,¥ARTH-UA 601 - History of Architecture: Antiquity to Present¥,¥Section: 001-LEC (9432)¥,¥Session: Regular Academic Session¥,¥Days/Times: TuTh 9:30am - 10:45am¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Grace Alice Walsh, Jonathan Hume Ritter¥,¥Status: Open¥
