¥course_id¥,¥course_name¥,¥section¥,¥topic¥,¥session¥,¥days/times¥,¥dates¥,¥instructor¥,¥status¥,¥wait list total¥
¥MEUY3311072960¥,¥ME-UY 3311 - Fluid Mechanics Laboratory¥,¥C-LAB (17079)¥,¥¥,¥Regular Academic Session¥,¥Th 2:30pm - 5:20pm¥,¥01/27/2020 - 05/11/2020¥,¥Staff¥,¥Closed¥,¥¥
¥MEUY3313072961¥,¥ME-UY 3313 - Fluid Mechanics¥,¥A-LEC (16721)¥,¥¥,¥Regular Academic Session¥,¥MoWe 12:30pm - 1:50pm¥,¥01/27/2020 - 05/11/2020¥,¥Staff¥,¥Closed¥,¥¥
¥MEUY3313072961¥,¥ME-UY 3313 - Fluid Mechanics¥,¥B-LEC (16841)¥,¥¥,¥Regular Academic Session¥,¥MoWe 11:00am - 12:20pm¥,¥01/27/2020 - 05/11/2020¥,¥Staff¥,¥Open¥,¥¥
¥MEUY3333073850¥,¥ME-UY 3333 - THERMODYNAMICS¥,¥INET-LEC (16800)¥,¥¥,¥Regular Academic Session¥,¥TBA¥,¥01/27/2020 - 05/11/2020¥,¥Staff¥,¥Open¥,¥¥
¥MEUY3411072962¥,¥ME-UY 3411 - Automatic Control Laboratory¥,¥A-LAB (16722)¥,¥¥,¥Regular Academic Session¥,¥Mo 3:00pm - 5:50pm¥,¥01/27/2020 - 05/11/2020¥,¥Staff¥,¥Open¥,¥¥
¥MEUY3411072962¥,¥ME-UY 3411 - Automatic Control Laboratory¥,¥B-LAB (16842)¥,¥¥,¥Regular Academic Session¥,¥We 3:00pm - 5:50pm¥,¥01/27/2020 - 05/11/2020¥,¥Staff¥,¥Open¥,¥¥
¥MEUY3413072963¥,¥ME-UY 3413 - Automatic Control¥,¥A-LEC (16723)¥,¥¥,¥Regular Academic Session¥,¥MoWe 9:00am - 10:20am¥,¥01/27/2020 - 05/11/2020¥,¥Staff¥,¥Open¥,¥¥
¥MEUY3413072963¥,¥ME-UY 3413 - Automatic Control¥,¥B-LEC (16843)¥,¥¥,¥Regular Academic Session¥,¥TuTh 12:30pm - 1:50pm¥,¥01/27/2020 - 05/11/2020¥,¥Staff¥,¥Open¥,¥¥
¥MEUY3511072964¥,¥ME-UY 3511 - Measurement Systems Laboratory¥,¥A-LAB (16724)¥,¥¥,¥Regular Academic Session¥,¥Fr 11:00am - 1:50pm¥,¥01/27/2020 - 05/11/2020¥,¥Staff¥,¥Open¥,¥¥
¥MEUY3513072965¥,¥ME-UY 3513 - Measurement Systems¥,¥A-LEC (16725)¥,¥¥,¥Regular Academic Session¥,¥TuTh 6:00pm - 7:20pm¥,¥01/27/2020 - 05/11/2020¥,¥Staff¥,¥Open¥,¥¥
¥MEUY4113073521¥,¥ME-UY 4113 - Senior Design II¥,¥A-PRO (16919)¥,¥¥,¥Regular Academic Session¥,¥TuTh 9:00am - 10:20am¥,¥01/27/2020 - 05/11/2020¥,¥Staff¥,¥Closed¥,¥¥
¥MEUY4113073521¥,¥ME-UY 4113 - Senior Design II¥,¥B-PRO (16726)¥,¥¥,¥Regular Academic Session¥,¥TuTh 9:00am - 10:20am¥,¥01/27/2020 - 05/11/2020¥,¥Staff¥,¥Open¥,¥¥
¥MEUY4214072969¥,¥ME-UY 4214 - Finite Element Modeling, Design and Analysis¥,¥ALAB-LAB (16890)¥,¥¥,¥Regular Academic Session¥,¥Tu 4:00pm - 5:50pm¥,¥01/27/2020 - 05/11/2020¥,¥Staff¥,¥Open¥,¥¥
¥MEUY4214072969¥,¥ME-UY 4214 - Finite Element Modeling, Design and Analysis¥,¥ALEC-LEC (16889)¥,¥¥,¥Regular Academic Session¥,¥Th 4:00pm - 5:50pm¥,¥01/27/2020 - 05/11/2020¥,¥Staff¥,¥Open¥,¥¥
¥MEUY4223072970¥,¥ME-UY 4223 - VIBRATIONS¥,¥A-LEC (17468)¥,¥¥,¥Regular Academic Session¥,¥TuTh 12:30pm - 1:50pm¥,¥01/27/2020 - 05/11/2020¥,¥Staff¥,¥Open¥,¥¥
¥MEUY4373073776¥,¥ME-UY 4373 - INTRO TO NUCLEAR ENGINEERING¥,¥A-LEC (16727)¥,¥¥,¥Regular Academic Session¥,¥Fr 2:00pm - 4:50pm¥,¥01/27/2020 - 05/11/2020¥,¥Staff¥,¥Open¥,¥¥
¥MEUY4643227230¥,¥ME-UY 4643 - Biofluid Mechanics¥,¥A-LEC (17447)¥,¥¥,¥Regular Academic Session¥,¥MoWe 4:30pm - 5:50pm¥,¥01/27/2020 - 05/11/2020¥,¥Staff¥,¥Open¥,¥¥
