¥course_id¥,¥course_name¥,¥section¥,¥topic¥,¥session¥,¥days/times¥,¥dates¥,¥instructor¥,¥status¥
¥ANTHUA997126263¥,¥ANTH-UA 997 - Independent Study¥,¥007-IND (10817)¥,¥¥,¥Regular Academic Session¥,¥TBA¥,¥09/03/2019 - 12/13/2019¥,¥Scott Alan Williams¥,¥Open¥
¥ANTHUA997126263¥,¥ANTH-UA 997 - Independent Study¥,¥008-IND (10818)¥,¥¥,¥Regular Academic Session¥,¥TBA¥,¥09/03/2019 - 12/13/2019¥,¥Staff¥,¥Open¥
¥ANTHUA998126264¥,¥ANTH-UA 998 - Independent Study¥,¥001-IND (7917)¥,¥¥,¥Regular Academic Session¥,¥TBA¥,¥09/03/2019 - 12/13/2019¥,¥Staff¥,¥Open¥
¥ANTHUA998126264¥,¥ANTH-UA 998 - Independent Study¥,¥002-IND (7918)¥,¥¥,¥Regular Academic Session¥,¥TBA¥,¥09/03/2019 - 12/13/2019¥,¥Staff¥,¥Open¥
¥ANTHUA998126264¥,¥ANTH-UA 998 - Independent Study¥,¥003-IND (10819)¥,¥¥,¥Regular Academic Session¥,¥TBA¥,¥09/03/2019 - 12/13/2019¥,¥Staff¥,¥Open¥
¥ANTHUA998126264¥,¥ANTH-UA 998 - Independent Study¥,¥004-IND (10820)¥,¥¥,¥Regular Academic Session¥,¥TBA¥,¥09/03/2019 - 12/13/2019¥,¥Staff¥,¥Open¥
¥ANTHUA998126264¥,¥ANTH-UA 998 - Independent Study¥,¥005-IND (10822)¥,¥¥,¥Regular Academic Session¥,¥TBA¥,¥09/03/2019 - 12/13/2019¥,¥Staff¥,¥Open¥
¥ANTHUA998126264¥,¥ANTH-UA 998 - Independent Study¥,¥006-IND (10823)¥,¥¥,¥Regular Academic Session¥,¥TBA¥,¥09/03/2019 - 12/13/2019¥,¥Staff¥,¥Open¥
¥ANTHUA998126264¥,¥ANTH-UA 998 - Independent Study¥,¥007-IND (10824)¥,¥¥,¥Regular Academic Session¥,¥TBA¥,¥09/03/2019 - 12/13/2019¥,¥Pam Crabtree¥,¥Open¥
¥ARTHUA1127939¥,¥ARTH-UA 1 - History of Western Art I¥,¥001-LEC (9409)¥,¥¥,¥Regular Academic Session¥,¥MoWe 9:30am - 10:45am¥,¥09/03/2019 - 12/13/2019¥,¥Carol H Krinsky¥,¥Open¥
¥ARTHUA1127939¥,¥ARTH-UA 1 - History of Western Art I¥,¥002-LEC (9411)¥,¥¥,¥Regular Academic Session¥,¥MoWe 9:30am - 10:45am¥,¥09/03/2019 - 12/13/2019¥,¥Carol H Krinsky¥,¥Open¥
